country_name,year,population,gdp_pc,combined_medals_count
Aruba,1984,64174,,0
Aruba,1988,64332,9274.51,0
Aruba,1992,70192,13657.67,0
Aruba,1994,74710,16675.28,0
Aruba,1996,79417,17375.23,0
Aruba,1998,84355,19742.32,0
Aruba,2000,89101,21026.17,0
Aruba,2002,91781,21375.27,0
Aruba,2004,93540,24105.52,0
Aruba,2006,95606,25832.93,0
Aruba,2008,97996,29011.64,0
Aruba,2010,100341,24452.59,0
Aruba,2012,102112,25611.18,0
Aruba,2014,103594,26940.26,0
Aruba,2016,104874,28449.71,0
Aruba,2018,105962,30918.48,0
Aruba,2020,106585,24008.13,0
Aruba,2022,106445,33300.84,0
Afghanistan,1984,10243686,,0
Afghanistan,1988,10383460,,0
Afghanistan,1992,12057433,,0
Afghanistan,1994,15455555,,0
Afghanistan,1996,17106595,,0
Afghanistan,1998,18493132,,0
Afghanistan,2000,19542982,180.19,0
Afghanistan,2002,21000256,182.17,0
Afghanistan,2004,23553551,221.83,0
Afghanistan,2006,25442944,274.02,0
Afghanistan,2008,26427199,382.53,1
Afghanistan,2010,28189672,562.5,0
Afghanistan,2012,30466479,653.42,1
Afghanistan,2014,32716210,626.51,0
Afghanistan,2016,34636207,523.05,0
Afghanistan,2018,36686784,492.09,0
Afghanistan,2020,38972230,512.06,0
Afghanistan,2022,41128771,352.6,0
Angola,1984,9617702,,0
Angola,1988,11060261,,0
Angola,1992,12632507,,0
Angola,1994,13462031,329.22,0
Angola,1996,14383350,454.38,0
Angola,1998,15366864,423.4,0
Angola,2000,16394062,556.88,0
Angola,2002,17516139,872.66,0
Angola,2004,18771125,1254.7,0
Angola,2006,20162340,2597.96,0
Angola,2008,21691522,4081.72,0
Angola,2010,23364185,3586.66,0
Angola,2012,25188292,5083.83,0
Angola,2014,27128337,5011.98,0
Angola,2016,29154746,1809.71,0
Angola,2018,31273533,2540.51,0
Angola,2020,33428486,1450.91,0
Angola,2022,35588987,2933.48,0
Albania,1984,2904429,639.48,0
Albania,1988,3142336,652.77,0
Albania,1992,3247039,200.85,0
Albania,1994,3207536,586.42,0
Albania,1996,3168033,1009.98,0
Albania,1998,3128530,813.79,0
Albania,2000,3089027,1126.68,0
Albania,2002,3051010,1425.12,0
Albania,2004,3026939,2373.58,0
Albania,2006,2992547,2972.74,0
Albania,2008,2947314,4370.54,0
Albania,2010,2913021,4094.35,0
Albania,2012,2900401,4247.63,0
Albania,2014,2889104,4578.63,0
Albania,2016,2876101,4124.06,0
Albania,2018,2866376,5287.66,0
Albania,2020,2837849,5343.04,0
Albania,2022,2777689,6810.11,0
Andorra,1984,42181,7825.16,0
Andorra,1988,49654,14529.06,0
Andorra,1992,57283,21123.06,0
Andorra,1994,61037,16670.94,0
Andorra,1996,64147,19081.55,0
Andorra,1998,65186,18592.24,0
Andorra,2000,66097,21674.3,0
Andorra,2002,70849,24901.97,0
Andorra,2004,76933,37698.33,0
Andorra,2006,80221,43122.6,0
Andorra,2008,76055,53938.85,0
Andorra,2010,71519,48237.89,0
Andorra,2012,71013,44902.38,0
Andorra,2014,71621,45680.53,0
Andorra,2016,72540,39931.22,0
Andorra,2018,75013,42904.83,0
Andorra,2020,77700,37207.22,0
Andorra,2022,79824,42350.7,0
United Arab Emirates,1984,1308331,31955.18,0
United Arab Emirates,1988,1683681,21545.46,0
United Arab Emirates,1992,2116231,25630.08,0
United Arab Emirates,1994,2329024,25463.5,0
United Arab Emirates,1996,2572735,28596.51,0
United Arab Emirates,1998,2921130,25905.84,0
United Arab Emirates,2000,3275333,31855.5,0
United Arab Emirates,2002,3633655,30221.97,0
United Arab Emirates,2004,3993339,37017.74,1
United Arab Emirates,2006,4898954,45339.59,0
United Arab Emirates,2008,6988685,45140.77,0
United Arab Emirates,2010,8481771,35392.26,0
United Arab Emirates,2012,8664969,44386.79,0
United Arab Emirates,2014,8835951,46865.96,0
United Arab Emirates,2016,8994263,41054.54,1
United Arab Emirates,2018,9140169,46722.27,0
United Arab Emirates,2020,9287289,37629.17,0
United Arab Emirates,2022,9441129,53707.98,0
Argentina,1984,29832197,3787.47,0
Argentina,1988,31690792,4005.2,2
Argentina,1992,33568285,6815.33,1
Argentina,1994,34488696,7464.47,0
Argentina,1996,35389362,7690.16,3
Argentina,1998,36233195,8250.67,0
Argentina,2000,37070774,7666.52,4
Argentina,2002,37885028,2579.49,0
Argentina,2004,38668796,4258.16,6
Argentina,2006,39476851,5890.98,0
Argentina,2008,40273769,8977.51,6
